INFO 2025-06-17 03:55:05,154 autoreload Watching for file changes with StatReloader
INFO 2025-06-17 03:55:24,362 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:25,296 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:25,303 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:25,343 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:25,346 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:25,366 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:25,367 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:25,374 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:25,453 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:25,474 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:25,484 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:25,491 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:25,506 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:26,850 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:26,864 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:26,869 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:26,888 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:26,895 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:26,896 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:26,899 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:26,922 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:26,955 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:26,967 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:26,985 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:26,999 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:28,210 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:28,236 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:28,268 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:28,269 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:28,317 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:28,326 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:28,336 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:28,348 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:28,354 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:28,371 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:28,388 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:28,396 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:29,131 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:29,145 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:29,151 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:29,155 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:29,164 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:29,167 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:29,172 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:29,176 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:29,190 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:29,200 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:29,252 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:29,256 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:30,169 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:30,170 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:30,172 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:30,179 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:30,190 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:30,195 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:30,196 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:30,198 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:30,198 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:30,259 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:30,264 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:30,264 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:31,113 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,116 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,119 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,120 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,122 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,123 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:31,158 basehttp "GET /api/users/ HTTP/1.1" 200 236
